year_t,month_t,day_t,rain_t
2022,3,5,0
2022,3,6,2.5
2022,3,7,0
2022,3,8,0
2022,3,9,0
2022,3,10,0
2022,3,11,0
2022,3,12,0
2022,3,13,0
2022,3,14,0
2022,3,15,4
2022,3,16,0
2022,3,17,0
2022,3,18,30
2022,3,19,10
2022,3,20,0
2022,3,21,0
2022,3,22,11
2022,3,23,0
2022,3,24,1
2022,3,25,0
2022,3,26,3
2022,3,27,1
2022,3,28,0
2022,3,29,0
2022,3,30,0
2022,3,31,0
2022,4,1,0
2022,4,2,0
2022,4,3,3
2022,4,4,16
2022,4,5,0
2022,4,6,0
2022,4,7,1
2022,4,8,0
2022,4,9,0
2022,4,10,0
2022,4,11,0
2022,4,12,0
2022,4,13,0
2022,4,14,3
2022,4,15,8.5
2022,4,16,0.5
2022,4,17,0
2022,4,18,15.5
2022,4,19,0
2022,4,20,0
2022,4,21,1.5
2022,4,22,6.5
2022,4,23,0
2022,4,24,0
2022,4,25,0
2022,4,26,0
2022,4,27,2
2022,4,28,0
2022,4,29,40
2022,4,30,0
2022,5,1,18.5
2022,5,2,4
2022,5,3,0
2022,5,4,0
2022,5,5,0
2022,5,6,0
2022,5,7,2
2022,5,8,0
2022,5,9,6.5
2022,5,10,0
2022,5,11,0
2022,5,12,0
2022,5,13,26
2022,5,14,10.5
2022,5,15,0
2022,5,16,4
2022,5,17,0.5
2022,5,18,0
2022,5,19,0
2022,5,20,0
2022,5,21,6
2022,5,22,6.5
2022,5,23,12.5
2022,5,24,0
2022,5,25,0
2022,5,26,0
2022,5,27,84
2022,5,28,0
2022,5,29,0
2022,5,30,0
2022,5,31,19
2022,6,1,0
2022,6,2,5.5
2022,6,3,1.5
2022,6,4,0
2022,6,5,0
2022,6,6,35
2022,6,7,8
2022,6,8,1.5
2022,6,9,3
2022,6,10,5.5
2022,6,11,24.5
2022,6,12,1
2022,6,13,0
2022,6,14,0
2022,6,15,0.5
2022,6,16,0
2022,6,17,0
2022,6,18,0
2022,6,19,0.5
2022,6,20,0
2022,6,21,0
2022,6,22,0
2022,6,23,5.5
2022,6,24,3
2022,6,25,0
2022,6,26,2.5
2022,6,27,0
2022,6,28,0
2022,6,29,0
2022,6,30,0
2022,7,1,0
2022,7,2,0
2022,7,3,0
2022,7,4,3.5
2022,7,5,1
2022,7,6,2
2022,7,7,0
2022,7,8,0
2022,7,9,0
2022,7,10,0
2022,7,11,0
2022,7,12,21.5
2022,7,13,16
2022,7,14,19
2022,7,15,26
2022,7,16,16.5
2022,7,17,21.5
2022,7,18,0
2022,7,19,4
2022,7,20,0
2022,7,21,8
2022,7,22,42.5
2022,7,23,12
2022,7,24,0
2022,7,25,0
2022,7,26,9.5
2022,7,27,53.5
2022,7,28,0
2022,7,29,27
2022,7,30,0
2022,7,31,23.5
2022,8,1,0
2022,8,2,0
2022,8,3,0
2022,8,4,2.5
2022,8,5,7.5
2022,8,6,1.5
2022,8,7,0
2022,8,8,0
2022,8,9,16
2022,8,10,40
2022,8,11,0
2022,8,12,0
2022,8,13,12.5
2022,8,14,0
2022,8,15,0
2022,8,16,0
2022,8,17,8.5
2022,8,18,7.5
2022,8,19,0
2022,8,20,4.5
2022,8,21,3.5
2022,8,22,0.5
2022,8,23,0
2022,8,24,0
2022,8,25,0
2022,8,26,12.5
2022,8,27,25.5
2022,8,28,18.5
2022,8,29,0
2022,8,30,7.5
2022,8,31,2.5
2022,9,1,0.5
2022,9,2,0
2022,9,3,3.5
2022,9,4,0.5
2022,9,5,0
2022,9,6,0
2022,9,7,13
2022,9,8,12.5
2022,9,9,0
2022,9,10,0
2022,9,11,0
2022,9,12,0
2022,9,13,0
2022,9,14,0
2022,9,15,4
2022,9,16,0.5
2022,9,17,0
2022,9,18,15
2022,9,19,7
2022,9,20,20.5
2022,9,21,0
2022,9,22,0.5
2022,9,23,23
2022,9,24,120
2022,9,25,0
2022,9,26,0
2022,9,27,0
2022,9,28,0
2022,9,29,0
2022,9,30,0
2022,10,1,0
2022,10,2,0
2022,10,3,0
2022,10,4,0
2022,10,5,0
2022,10,6,2.5
2022,10,7,19.5
2022,10,8,0
2022,10,9,3.5
2022,10,10,8.5
2022,10,11,0
2022,10,12,0
2022,10,13,1
2022,10,14,2.5
2022,10,15,0
2022,10,16,1
2022,10,17,4.5
2022,10,18,0
2022,10,19,0
2022,10,20,0
2022,10,21,0
2022,10,22,0
2022,10,23,0
2022,10,24,1
2022,10,25,0
2022,10,26,0
2022,10,27,0
2022,10,28,0
2022,10,29,0
2022,10,30,0
2022,10,31,0
2022,11,1,0.5
2022,11,2,0
2022,11,3,0
2022,11,4,0
2022,11,5,0
2022,11,6,0
2022,11,7,0
2022,11,8,0
2022,11,9,0
2022,11,10,0
2022,11,11,0
2022,11,12,0
2022,11,13,0
2022,11,14,0
2022,11,15,0.5
2022,11,16,0
2022,11,17,0
2022,11,18,0
2022,11,19,0
